YEAR,MO,HR,PM2.5
2022,1,0,24.46487798825
2022,1,1,21.252500215875
2022,1,2,20.434686189733334
2022,1,3,18.221462451666664
2022,1,4,15.184770091125
2022,1,5,16.1527621275
2022,1,6,21.635827142
2022,1,7,27.1395903498125
2022,1,8,35.621812083625
2022,1,9,44.041162080625
2022,1,10,36.90761718875
2022,1,11,28.354456434375
2022,1,12,21.1346461065
2022,1,13,15.773053066600001
2022,1,14,15.78415225335294
2022,1,15,14.080695092166668
2022,1,16,15.61579966463158
2022,1,17,20.93595298363158
2022,1,18,20.035216313684213
2022,1,19,25.131959454058826
2022,1,20,27.185239995437502
2022,1,21,27.4953370076875
2022,1,22,24.4622599610625
2022,1,23,22.2803043103125
2022,2,0,9.991500402416667
2022,2,1,8.729401804454545
2022,2,2,7.868261878090909
2022,2,3,7.969414202727273
2022,2,4,7.8672362186
2022,2,5,8.662932654666667
2022,2,6,11.925650986333332
2022,2,7,15.027011698222221
2022,2,8,17.054789794666664
2022,2,9,16.6517156125
2022,2,10,15.613980697625001
2022,2,11,14.0190297394
2022,2,12,11.87176899790909
2022,2,13,10.733503836199999
2022,2,14,9.921464437058823
2022,2,15,10.470569362315791
2022,2,16,10.186728775473686
2022,2,17,10.023563575333334
2022,2,18,11.459948955611111
2022,2,19,10.862430313117647
2022,2,20,12.1433109300625
2022,2,21,12.7347501814375
2022,2,22,12.437683661071429
2022,2,23,11.158450135384614
2022,3,0,
2022,3,1,
2022,3,2,
2022,3,3,
2022,3,4,
2022,3,5,
2022,3,6,
2022,3,7,
2022,3,8,
2022,3,9,
2022,3,10,
2022,3,11,
2022,3,12,
2022,3,13,
2022,3,14,
2022,3,15,
2022,3,16,
2022,3,17,
2022,3,18,
2022,3,19,
2022,3,20,
2022,3,21,
2022,3,22,
2022,3,23,
2022,4,0,76.17258668
2022,4,1,75.39101834444445
2022,4,2,75.03359608222223
2022,4,3,79.47093498555556
2022,4,4,81.25575399444443
2022,4,5,96.90972751222222
2022,4,6,107.66210847555556
2022,4,7,109.54002367333334
2022,4,8,99.4119619111111
2022,4,9,78.57543353
2022,4,10,63.755638553333334
2022,4,11,54.68945553555555
2022,4,12,50.74748350666667
2022,4,13,51.42525881666667
2022,4,14,47.846497892222224
2022,4,15,46.067167972
2022,4,16,48.118632358
2022,4,17,51.623432509
2022,4,18,57.722813841999994
2022,4,19,63.460007182000005
2022,4,20,68.70694479599999
2022,4,21,74.451802888
2022,4,22,74.677233089
2022,4,23,77.422782086
2022,5,0,45.60835514709677
2022,5,1,39.49955977129032
2022,5,2,36.474458446129034
2022,5,3,37.459799102903226
2022,5,4,40.18493343287097
2022,5,5,44.38890158583871
2022,5,6,49.71850328354839
2022,5,7,49.28720460516129
2022,5,8,46.65986087709677
2022,5,9,41.853493894193555
2022,5,10,35.073219529193544
2022,5,11,30.934448396645163
2022,5,12,29.69017803322581
2022,5,13,28.951935537677418
2022,5,14,29.37841459354839
2022,5,15,28.93336767064516
2022,5,16,30.094853198064516
2022,5,17,31.35306788677419
2022,5,18,37.62660095419355
2022,5,19,42.61303922354839
2022,5,20,45.18303982387097
2022,5,21,48.502776332580645
2022,5,22,49.827309083225806
2022,5,23,48.15157288032258
2022,6,0,47.4739566615
2022,6,1,42.112305268
2022,6,2,40.4717528835
2022,6,3,39.1673917456
2022,6,4,37.4113123705
2022,6,5,39.254476856500006
2022,6,6,44.153223167
2022,6,7,47.7467264365
2022,6,8,48.2615749945
2022,6,9,45.332362734
2022,6,10,44.210512524500004
2022,6,11,40.2279524685
2022,6,12,39.756344381000005
2022,6,13,37.9240198655
2022,6,14,36.542824172500005
2022,6,15,36.17336585619048
2022,6,16,37.16490591666667
2022,6,17,39.51736971857143
2022,6,18,42.84475641476191
2022,6,19,48.212296411428575
2022,6,20,50.76600974666667
2022,6,21,51.45742332428571
2022,6,22,53.89461527095238
2022,6,23,51.136417058
2022,7,0,15.102918747322581
2022,7,1,13.510884894774192
2022,7,2,13.286436108066665
2022,7,3,13.288565893774194
2022,7,4,13.657369107322582
2022,7,5,16.40310294589655
2022,7,6,18.5317673814
2022,7,7,20.923034689741936
2022,7,8,21.855148225666667
2022,7,9,21.24408539064516
2022,7,10,19.387177542774193
2022,7,11,18.870649595483872
2022,7,12,16.370987590129033
2022,7,13,14.59922463483871
2022,7,14,14.692434724354838
2022,7,15,13.569418879935483
2022,7,16,14.35642568851613
2022,7,17,16.847641290666665
2022,7,18,19.20359889470968
2022,7,19,20.946715091766666
2022,7,20,20.287270097666667
2022,7,21,19.414995754870965
2022,7,22,18.830623103645163
2022,7,23,16.69266894583871
2022,8,0,13.143609256741934
2022,8,1,12.76225741780645
2022,8,2,11.912292315870967
2022,8,3,12.618788138387098
2022,8,4,12.54933162667742
2022,8,5,15.395276926
2022,8,6,18.754558456290322
2022,8,7,20.62780006151613
2022,8,8,21.5447544
2022,8,9,19.609180842193545
2022,8,10,17.412436256580648
2022,8,11,14.698501771451612
2022,8,12,13.723412972774193
2022,8,13,12.857372108580645
2022,8,14,12.431283122387097
2022,8,15,12.760438991064516
2022,8,16,13.64824992780645
2022,8,17,15.179626205806452
2022,8,18,18.70237720516129
2022,8,19,20.165604544333334
2022,8,20,18.606153658096776
2022,8,21,16.826687878548384
2022,8,22,15.792629508096773
2022,8,23,15.547844191129032
2022,9,0,22.350139865724138
2022,9,1,20.262607234666667
2022,9,2,19.007939022299997
2022,9,3,19.606909547466667
2022,9,4,20.695753746551723
2022,9,5,23.407442742413792
2022,9,6,28.57843583
2022,9,7,29.59752908862069
